step,index,overlap,shared_primes,entropy,coherence_norm,remaining_high_overlap,eta,step_time_ms,runtime_slope
step,index,overlap,shared_primes,entropy,coherence_norm,remaining_high_overlap,eta,step_time_ms,runtime_slope
Total permutations: 120
Start permutation: (1, 2, 3, 4, 5) | Index: 0 | Factors: {0: 1}
0,33,4,0,0.6931,14,3,73.57,1211.0,0.0000
→ (2, 3, 4, 5, 1) | Overlap: 4 | ETA: 73.6s | Index: 33 | Factors: {3: 1, 11: 1} | Step Time: 1211.0ms

1,64,4,0,-0.0000,12,3,66.74,464.4,-373.3228
→ (3, 4, 5, 1, 2) | Overlap: 4 | ETA: 66.7s | Index: 64 | Factors: {2: 6} | Step Time: 464.4ms

2,90,4,1,1.0397,13,3,62.68,450.0,-253.6764
→ (4, 5, 1, 2, 3) | Overlap: 4 | ETA: 62.7s | Index: 90 | Factors: {2: 1, 3: 2, 5: 1} | Step Time: 450.0ms

3,96,4,2,0.4506,13,2,59.74,436.0,-193.7422
→ (5, 1, 2, 3, 4) | Overlap: 4 | ETA: 59.7s | Index: 96 | Factors: {2: 5, 3: 1} | Step Time: 436.0ms

4,32,3,1,-0.0000,10,1,57.29,418.0,-158.5996
→ (2, 3, 4, 1, 5) | Overlap: 3 | ETA: 57.3s | Index: 32 | Factors: {2: 5} | Step Time: 418.0ms

5,61,4,0,-0.0000,61,3,55.52,424.0,-131.1710
→ (3, 4, 1, 5, 2) | Overlap: 4 | ETA: 55.5s | Index: 61 | Factors: {61: 1} | Step Time: 424.0ms

6,76,4,0,0.6365,23,3,53.99,415.0,-113.7148
→ (4, 1, 5, 2, 3) | Overlap: 4 | ETA: 54.0s | Index: 76 | Factors: {2: 2, 19: 1} | Step Time: 415.0ms

7,18,4,1,0.6365,8,3,52.63,411.0,-99.9998
→ (1, 5, 2, 3, 4) | Overlap: 4 | ETA: 52.6s | Index: 18 | Factors: {2: 1, 3: 2} | Step Time: 411.0ms

8,105,4,1,1.0986,15,1,52.13,472.0,-82.1109
→ (5, 2, 3, 4, 1) | Overlap: 4 | ETA: 52.1s | Index: 105 | Factors: {3: 1, 5: 1, 7: 1} | Step Time: 472.0ms

9,60,3,2,1.0397,12,1,51.58,466.0,-74.4998
→ (3, 4, 1, 2, 5) | Overlap: 3 | ETA: 51.6s | Index: 60 | Factors: {2: 2, 3: 1, 5: 1} | Step Time: 466.0ms

10,73,4,0,-0.0000,73,3,50.47,402.0,-6.2353
→ (4, 1, 2, 5, 3) | Overlap: 4 | ETA: 50.5s | Index: 73 | Factors: {73: 1} | Step Time: 402.0ms

11,4,4,0,-0.0000,4,3,49.42,397.0,-5.2969
→ (1, 2, 5, 3, 4) | Overlap: 4 | ETA: 49.4s | Index: 4 | Factors: {2: 2} | Step Time: 397.0ms

12,45,4,0,0.6365,11,3,48.40,387.0,-4.9028
